index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_SD,days_ps,days_cat,yrs_ps,stroke_type,nihss_base,mmse_base,mMmse_base,fim_base,brunstrom_base,frenchay_base,fac_base,barthel_base,mBarthel_base,motricity_base,BBS_base,BBT_base,gcs_base,MAS_base,sis_base,rivermead_base,ashworth_base,mAshworth_base,rankin_base,bdi_base,cesd_base,ops_base,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,fu_g,term_Vd,fu_Vd,term_Vg,fu_Vg,chck2,notes,therapy_bucket,norm_rescale_factor,norm_rescaled,transcription_corrected,row_score,fam_pref,sigma_F_imputed,term_g_used,term_g_derived,final_scale,unit_role,exclusion_reason,implied_dist_m,age_sd_imputed,dose_imputed,pooled_sd_metadata
3,2,ada2003,ada,2003,ctrl,3,low intensity home exercise,http://www.ncbi.nlm.nih.gov/pubmed/14586916,australia,new south wales,sydney,,14.5,,,28.0,49.0,66.0,11.0,780.0,>1year,2.136986301,0,,,,,,,,,,,,,,,,,,,,,,,0.0,10mwt SSV,le,,speed,lohse,0.0,0.0,14,0.53,0.3,,14.0,0.56,0.3,0.0,0.0,13.0,0.64,0.29,0.5,0.03,0.3,0.11,0.295242273,0.1,0.372575373,0.941176471,0.094117647,0.350659174,0.071785714,0.076386157,0.06358873,0.067663863,Yes,,FES / e-stim,1.0,False,False,7,3,False,0.094117647,False,Gait_speed,native,,10.0,False,True,0.3
4,2,ada2003,ada,2003,exp,4,overground and treadmill walking,http://www.ncbi.nlm.nih.gov/pubmed/14586916,australia,new south wales,sydney,6.0,6.0,6.0,1.0,28.0,49.0,66.0,11.0,840.0,>1year,2.301369863,0,,,,,,,,,,,,,,,,,,,,,,,1.0,10mwt SSV,le,,speed,lohse,0.0,0.0,13,0.62,0.24,,11.0,0.75,0.26,0.0,0.0,13.0,0.83,0.26,0.5,0.13,0.249289901,0.21,0.25019992,0.521481214,0.839328805,0.936170213,0.488195179,0.785754626,0.08738241,0.104018186,0.076583226,0.091163064,Yes,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.488195179,False,Gait_speed,native,,10.0,False,False,0.2501999200639361
14,6,bale2008,bale,2008,ctrl,12,training as usual,http://www.ncbi.nlm.nih.gov/pubmed/18955423,norway,,Førde,16.67,16.67,16.67,1.0,28.0,,64.9,10.4,32.0,<90days,0.087671233,1,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed SSV,le,,speed,lohse,0.0,1.0,10,0.38,0.3,,10.0,0.46,0.3,,,,,,0.5,0.08,0.3,,0.3,0.266666667,,0.914285714,0.243809524,,0.103555556,,0.086563991,,,,Conventional / standard,1.0,False,False,7,3,False,0.243809524,False,Gait_speed,native,,10.0,True,False,0.3
15,6,bale2008,bale,2008,exp,13,functional strength training,http://www.ncbi.nlm.nih.gov/pubmed/18955423,norway,,Førde,16.67,16.67,16.67,1.0,28.0,,60.8,10.2,49.4,<90days,0.135342466,1,,,,,,,,,,,,,,,,,,,,,,,0.0,gait speed SSV,le,,speed,lohse,0.0,1.0,8,0.13,0.2,,8.0,0.36,0.2,,,,,,0.5,0.23,0.2,,0.2,1.15,,0.888888889,1.022222222,,0.20765625,,0.164074074,,,,Strength / resistance,1.0,False,False,7,3,False,1.022222222,False,Gait_speed,native,,10.0,True,False,0.2
52,20,cho2013,cho,2013,ctrl,42,treadmill training + conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/23598900,south korea,,seoul,33.0,33.0,33.0,1.0,42.0,,65.14,4.74,312.0,<1year,0.854794521,1,,26.14,,,2.57,,,,,,,,,,,,,,,,,,1.0,gait speed,le,,speed,USU,0.0,0.0,7,52.05,18.04,0.0,7.0,61.8,20.64,,,,,,0.5,9.75,19.38364259,,18.04,0.503001433,,0.869565217,0.43739255,,0.160929317,,0.121685684,,,,Treadmill / BWSTT,1.0,False,False,7,3,False,0.43739255,False,Gait_speed,time,,10.0,False,False,19.38364258853325
53,20,cho2013,cho,2013,exp,43,virtual reality walking + conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/23598900,south korea,,seoul,33.0,33.0,33.0,1.0,42.0,,64.57,4.35,288.28,<1year,0.789808219,1,,26.71,,,2.85,,,,,,,,,,,,,,,,,,1.0,gait speed,le,,speed,USU,0.0,0.0,7,54.27,16.18,0.0,7.0,79.67,13.91,,,,,,0.5,25.4,15.08775165,,16.18,1.683484762,,0.869565217,1.463899793,,0.345294353,,0.261092138,,,,Virtual reality,1.0,False,False,7,3,False,1.463899793,False,Gait_speed,time,,10.0,False,False,15.087751654902064
57,22,cooke2010,cooke,2010,ctrl,47,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/19704158,uk,norfolk,norwich,9.2,9.2,9.2,1.0,42.0,84.0,66.4,10.4,36.76,<90days,0.100712329,1,,,,,,,,,,>28,,,,,,29.4,,,,,,,7.0,10mwt,le,,speed,lohse,1.0,1.0,38,0.17,0.224,,31.0,0.3,0.35,0.0,0.0,24.0,0.44,0.39,0.5,0.13,0.287332352,0.27,0.298742141,0.45243774,0.903789466,0.979591837,0.443204317,0.885344783,0.029009209,0.037063624,0.027837242,0.035566259,Yes,,Conventional / standard,1.0,False,False,7,3,False,0.443204317,False,Gait_speed,native,,10.0,True,False,0.293833286065415
58,22,cooke2010,cooke,2010,exp,48,CPT+CPT,http://www.ncbi.nlm.nih.gov/pubmed/19704158,uk,norfolk,norwich,23.0,23.0,23.0,1.0,42.0,84.0,67.5,10.4,32.43,<90days,0.088849315,1,,,,,,,,,,>28,,,,,,28.9,,,,,,,3.0,10mwt,le,,speed,lohse,1.0,1.0,35,0.27,0.36,,32.0,0.55,0.49,0.0,0.0,28.0,0.59,0.48,0.5,0.28,0.426966041,0.32,0.417392373,0.65578986,0.766664703,0.977777778,0.641216752,0.749627709,0.034715148,0.036968211,0.033189396,0.035343435,Yes,,Conventional / standard,1.0,False,False,7,3,False,0.641216752,False,Gait_speed,native,,10.0,True,False,0.4299418565341132
59,22,cooke2010,cooke,2010,exp,49,CPT+FST,http://www.ncbi.nlm.nih.gov/pubmed/19704158,uk,norfolk,norwich,23.5,23.5,23.5,1.0,42.0,84.0,71.2,10.4,33.86,<90days,0.092767123,1,,,,,,,,,,>28,,,,,,30.3,,,,,,,0.0,10mwt,le,,speed,lohse,1.0,1.0,36,0.23,0.29,,36.0,0.42,0.39,0.0,0.0,29.0,0.46,0.37,0.5,0.19,0.343656806,0.23,0.327973576,0.552877164,0.701276007,0.978417266,0.540944563,0.686140554,0.032023238,0.034608167,0.030655857,0.03313041,Yes,,Conventional / standard,1.0,False,False,7,3,False,0.540944563,False,Gait_speed,native,,10.0,True,False,0.3436568055487917
80,30,dean/ada2010/2010,dean/ada,2010/2010,exp,64,treadmill walking,http://www.ncbi.nlm.nih.gov/pubmed/20482476,australia,,sydney,,17.05,,,180.0,,70.0,9.0,18.0,<90days,0.049315068,0,,,,,,,,,,,,,,3.1,,,0,,,,,,4.0,10mwt,le,,speed,lohse,1.0,1.0,38,0.0,0.0,,38.0,0.57,0.36,0.0,,,,,0.5,0.57,0.36,,,1.583333333,,0.979591837,1.551020408,,0.059301901,,0.056906114,,Yes,0 SD at baseline (non-abulatory patients),Treadmill / BWSTT,1.0,False,False,7,3,False,1.551020408,False,Gait_speed,native,,10.0,False,True,0.2545584412271571
81,30,dean/ada2010/2010,dean/ada,2010/2010,ctrl,65,overground walking,http://www.ncbi.nlm.nih.gov/pubmed/20482476,australia,,sydney,,17.7,,,180.0,,71.0,9.0,18.0,<90days,0.049315068,0,,,,,,,,,,,,,,2.9,,,0,,,,,,2.0,10mwt,le,,speed,lohse,1.0,1.0,32,0.0,0.0,,32.0,0.47,0.28,0.0,,,,,0.5,0.47,0.28,,,1.678571429,,0.975609756,1.637630662,,0.075275032,,0.071647859,,Yes,0 SD at baseline (non-abulatory patients),Overground / gait training,1.0,False,False,7,3,False,1.637630662,False,Gait_speed,native,,10.0,False,True,0.19798989873223333
86,32,di lauro2003,di lauro,2003,ctrl,68,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/14586603,italy,,naples,10.5,10.5,10.5,1.0,14.0,180.0,67.6,9.645,1.0,<90days,0.002739726,1,10.6,,,,,,,1.4,,,,,,,,,,,,,,,3.0,bartel,,,,lohse,0.0,0.0,29,7.5,7.5,,26.0,16.0,13.0,0.0,0.0,22.0,38.5,15.0,0.5,1.7,2.092213777,6.2,2.267786838,0.812536471,2.733943021,0.972972973,0.790576026,2.66005267,0.045865785,0.16335249,0.043420056,0.154641949,Yes,,Conventional / standard,5.0,True,False,7,0,False,0.790576026,False,Barthel,native,,,True,False,10.612492638395562
87,32,di lauro2003,di lauro,2003,exp,69,CPT + CPT,http://www.ncbi.nlm.nih.gov/pubmed/14586603,italy,,naples,28.0,28.0,28.0,1.0,14.0,180.0,69.3,9.645,1.0,<90days,0.002739726,1,10.8,,,,,,,1.5,,,,,,,,,,,,,,,4.0,bartel,,,,lohse,0.0,0.0,31,7.0,7.0,,27.0,16.0,10.0,0.0,0.0,24.0,40.0,14.0,0.5,1.8,1.705034562,6.6,2.124075826,1.055697075,3.107233706,0.974789916,1.029082863,3.028900083,0.050233812,0.187982279,0.04773294,0.178623653,Yes,,Conventional / standard,5.0,True,False,7,0,False,1.029082863,False,Barthel,native,,,True,False,8.631338250816034
96,34,dobkin2010,dobkin,2010,ctrl,72,conventional training,http://www.ncbi.nlm.nih.gov/pubmed/20164411,usa,CA,los angeles,,20.0,,,42.8,132.8,65.1,10.4,30.2,<90days,0.082739726,0,6.6,,,,,,>4,,,,,,,,,,,,>2,,,,7.0,gait speed SSV,le,,speed,lohse,1.0,0.0,91,0.46,0.34,,84.0,0.72,0.44,,,,,,0.5,0.26,0.391180221,,0.34,0.664655282,,0.991643454,0.659101059,,0.0134163,,0.013193009,,,,Conventional / standard,1.0,False,False,7,3,False,0.659101059,False,Gait_speed,native,,10.0,True,True,0.39319206502675
97,34,dobkin2010,dobkin,2010,exp,73,conventional gait training plus augmented feedback,http://www.ncbi.nlm.nih.gov/pubmed/20164411,usa,CA,los angeles,,17.7,,,40.4,130.4,62.9,8.100000000000001,27.3,<90days,0.074794521,0,6.4,,,,,,>4,,,,,,,,,,,,>2,,,,10.0,gait speed SSV,le,,speed,lohse,1.0,0.0,88,0.45,0.37,,78.0,0.91,0.57,,,,,,0.5,0.46,0.474519012,,0.37,0.969402676,,0.991354467,0.961021673,,0.016703077,,0.016415511,,,,Overground / gait training,1.0,False,False,7,3,False,0.961021673,False,Gait_speed,native,,10.0,True,True,0.48052055106935854
